NAME,COUNTRY,CODE,RANK,AWARD,PAMOG,P1,P2,P3,P4,P5,P6,TOTAL,STATUS,YEAR
Veller Carl,South Africa ,SAF,1,Gold,,7,4,7,7,7,7,39,Official ,2006
Ben Youssef Tarek,Tunisia,TUN,2,Gold,,6,2,7,7,7,7,36,Official ,2006
Munik Melissa,South Africa ,SAF,2,Gold,,7,1,7,7,7,7,36,Official ,2006
Uchendu Ndubisi,Nigeria,NGA,4,Silver,,5,0,7,7,7,6,32,Official ,2006
Conradie Francoise,South Africa ,SAF,4,Silver,,7,1,7,7,7,3,32,Official ,2006
Nzi Brou ,Ivory Coast ,IVC,6,Silver,,7,2,7,7,0,7,30,Official ,2006
Amonle Cedric Lawins  Gbebode,Benin,BEN,7,Silver,,7,1,1,7,6,7,29,Official ,2006
Marrakchi Ahmed,Tunisia,TUN,7,Silver,,7,1,0,7,7,7,29,Official ,2006
Triki Bassam ,Tunisia,TUN,7,Silver,,7,1,7,7,0,7,29,Official ,2006
Massoudi Bayrem,Tunisia,TUN,10,Silver,,7,1,1,4,7,7,27,Official ,2006
Medjigbodo Sonagnon Gildas ,Benin,BEN,11,Silver,,7,2,7,3,0,7,26,Official ,2006
Fenner Kylie,South Africa ,SAF,12,Silver,,4,2,5,7,6,1,25,Official ,2006
Hounkonnou Oswald Donna,Ivory Coast ,IVC,13,Bronze,,6,1,2,7,1,5,22,Official ,2006
Nyambre Serge Armand ,Burkina Faso,BFA,14,Bronze,,7,1,7,1,0,4,20,Official ,2006
Takodjou Kengne Nobel H.,Cameroon,CAM,15,Bronze,,6,2,3,4,0,4,19,Official ,2006
Diouf Massa,Senegal,SEN,16,Bronze,,7,0,7,0,0,4,18,Official ,2006
Soro Ousmane,Ivory Coast ,IVC,16,Bronze,,7,1,0,7,3,0,18,Official ,2006
Barra Ali ,Burkina Faso,BFA,18,Bronze,,7,1,0,1,0,7,16,Official ,2006
Tchibozo Kekele B.K. Steven,Benin,BEN,19,Bronze,,7,2,4,0,0,1,14,Official ,2006
Maiga Aissata Birkourtji,Mali,MLI,20,Bronze,,0,4,7,1,0,0,12,Official ,2006
Kabore Eliane,Burkina Faso,BFA,21,Honourable Mention,,7,1,0,2,1,0,11,Official ,2006
Agofack,Cameroon,CAM,21,,,2,6,2,1,0,0,11,Official ,2006
Ahohuendo Florel Armel,Benin,BEN ,23,Honourable Mention,,7,0,0,3,0,0,10,Official ,2006
Fongang Fongang Derrick,Cameroon,CAM,23,Honourable Mention,,0,0,2,0,1,7,10,Official ,2006
N'Daw Mamadou ,Senegal,SEN,25,Honourable Mention,,7,0,0,1,0,1,9,Official ,2006
Gueye Pape Malik,Senegal,SEN,26,Honourable Mention,,1,0,7,0,0,0,8,Official ,2006
Kabore J.,Burkina Faso,BFA,27,,,0,2,0,4,0,0,6,Official ,2006
Ekwue,Nigeria,NGA,27,,,0,2,1,3,0,0,6,Official ,2006
Bhembe,Eswatini,ESW,29,,,3,0,1,0,1,0,5,Official ,2006
Munezvenyu,Zimbabwe,ZIM,29,,,0,1,1,0,0,3,5,Official ,2006
Diarra,Mali,MLI,31,,,1,1,1,1,0,0,4,Official ,2006
Tamboura,Mali,MLI,31,,,0,1,1,2,0,0,4,Official ,2006
Traore,Mali,MLI,31,,,0,1,3,0,0,0,4,Official ,2006
Vilakazi,Eswatini,ESW,34,,,3,0,0,0,0,1,4,Official ,2006
Soumare,Senegal,SEN,35,,,1,0,0,2,0,0,3,Official ,2006
Lekpeli,Ivory Coast ,IVC,35,,,0,0,0,1,2,0,3,Official ,2006
Seguno O.,Nigeria,NGA,35,,,0,0,0,3,0,0,3,Official ,2006
Mu'aazzam,Nigeria,NGA,35,,,0,1,1,1,0,0,3,Official ,2006
Nono Kamga,Cameroon,CAM,39,,,1,0,0,1,0,0,2,Official ,2006
Simelane,Eswatini,ESW,40,,,1,0,0,0,0,0,1,Official ,2006
Finnigan ,Zimbabwe,ZIM,40,,,0,0,0,1,0,0,1,Official ,2006
Vilakati,Eswatini,ESW,42,,,0,0,0,0,0,0,0,Official ,2006
Uchendu Ndubuisi ,Nigeria,NGA,1,Gold,,7,5,3,6,7,3,31,Official,2007
Nicky Van der Mey,South Africa,SAF,2,Gold,,7,5,2,7,7,1,29,Official,2007
Francois Conrade,South Afrrica,SAF,2,Gold,,7,0,2,6,7,7,29,Official,2007
Tossou Aristide,Benin,BEN,4,Silver,,3,6,2,7,7,2,27,Official,2007
Ahouassou Jean Paul,Benin,BEN,5,Silver,,2,6,2,7,7,1,25,Official,2007
Kylie Fenner,South Africa,SAF,6,Silver,,2,1,6,7,7,0,23,Official,2007
Haroon Moolla ,South Africa,SAF,6,Silver,,7,0,2,7,7,0,23,Official,2007
Mbatchou Sunang Emmanuelle,Cameroon,CAM,6,Silver,,3,4,0,7,7,2,23,Official,2007
Issa Oumarou,Cameroon,CAM,9,Bronze,,7,1,0,7,7,0,22,Official,2007
Finnigan Mahdi,Zimbabwe,ZIM,10,Bronze,,7,0,4,1,7,2,21,Official,2007
